# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  7 13:44:30 2023
#
# User preference: *
#
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_eccen_err1: Eccentricity Upper Unc.
# COLUMN koi_eccen_err2: Eccentricity Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_dor_err1:   Planet-Star Distance over Star Radius Upper Unc.
# COLUMN koi_dor_err2:   Planet-Star Distance over Star Radius Lower Unc.
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
CONFIRMED,CANDIDATE,8.689301216,9.8010000e-06,-9.8010000e-06,0,,,2.56300,0.03130,-0.03130,2.92,6.000e-01,-4.200e-01,0.0774,,,89.94,,,782.0,,,26.669000,0.264000,-0.264000,5211.00,181.00,-163.00,0.8950,0.1860,-0.1290,0.8170,0.1040,-0.0640
CONFIRMED,CANDIDATE,20.997579680,3.3340000e-05,-3.3340000e-05,0,,,2.45400,0.04720,-0.04720,2.97,6.100e-01,-4.300e-01,0.1394,,,89.76,,,582.0,,,64.900000,11.700000,-11.700000,5211.00,181.00,-163.00,0.8950,0.1860,-0.1290,0.8170,0.1040,-0.0640
FALSE POSITIVE,FALSE POSITIVE,0.979442525,2.2550000e-06,-2.2550000e-06,0,,,1.03480,0.05210,-0.05210,1.64,3.100e-01,-1.300e-01,0.0181,,,86.76,,,1567.0,,,6.860000,3.300000,-3.300000,5532.00,193.00,-193.00,0.7450,0.1390,-0.0600,0.8330,0.0790,-0.0970
CONFIRMED,CANDIDATE,3.120828136,1.9860000e-06,-1.9860000e-06,0,,,2.18780,0.06450,-0.06450,14.16,4.430e+00,-1.480e+00,0.0428,,,84.95,,,1303.0,,,8.920000,2.600000,-2.600000,6122.00,165.00,-201.00,0.9960,0.3120,-0.1040,1.0700,0.1370,-0.1370
CONFIRMED,CANDIDATE,15.135904530,6.1550000e-05,-6.1550000e-05,0,,,2.23600,0.10200,-0.10200,2.57,7.400e-01,-7.500e-01,0.1286,,,89.44,,,933.0,,,46.800000,15.200000,-15.200000,6050.00,190.00,-232.00,1.5720,0.4590,-0.4590,1.2400,0.1700,-0.2270
FALSE POSITIVE,FALSE POSITIVE,1.399326503,5.1710000e-06,-5.1710000e-06,0,,,1.83050,0.09780,-0.09780,1.00,4.000e-02,-9.000e-02,0.0220,,,89.92,,,1143.0,,,5.942000,0.811000,-0.811000,4502.00,137.00,-123.00,0.7280,0.0260,-0.0620,0.7220,0.0480,-0.0520
CONFIRMED,CANDIDATE,1.937029968,2.6050000e-06,-2.6050000e-06,0,,,1.47270,0.03620,-0.03620,0.87,6.000e-02,-6.000e-02,0.0242,,,89.41,,,802.0,,,10.175000,0.463000,-0.463000,4042.00,72.00,-88.00,0.4900,0.0300,-0.0370,0.5050,0.0270,-0.0330
CONFIRMED,CANDIDATE,7.061173220,1.2070000e-05,-1.2070000e-05,0,,,1.04060,0.04950,-0.04950,1.23,7.000e-02,-1.000e-01,0.0574,,,88.38,,,521.0,,,29.900000,13.600000,-13.600000,4042.00,72.00,-88.00,0.4900,0.0300,-0.0370,0.5050,0.0270,-0.0330
CONFIRMED,CANDIDATE,20.553314410,7.5070000e-05,-7.5070000e-05,0,,,5.31360,0.09750,-0.09750,3.19,1.020e+00,-3.400e-01,0.1542,,,87.62,,,749.0,,,19.190000,8.600000,-8.600000,6325.00,174.00,-217.00,1.1120,0.3530,-0.1180,1.1570,0.1570,-0.1570
CONFIRMED,CANDIDATE,40.068671300,1.0180000e-04,-1.0180000e-04,0,,,5.88750,0.06650,-0.06650,3.10,8.500e-01,-4.600e-01,0.2234,,,89.97,,,560.0,,,53.460000,1.900000,-1.900000,6026.00,182.00,-182.00,0.9920,0.2740,-0.1470,0.9240,0.1200,-0.0980
CONFIRMED,CANDIDATE,114.736580000,1.5010000e-04,-1.5010000e-04,0,,,12.03550,0.09210,-0.09210,12.28,1.060e+00,-8.900e-01,0.4572,,,89.47,,,476.0,,,64.440000,9.100000,-9.100000,5597.00,112.00,-101.00,1.6990,0.1470,-0.1230,0.9690,0.0840,-0.0630
CONFIRMED,CANDIDATE,191.239133000,2.4200000e-03,-2.4200000e-03,0,,,16.94200,0.41300,-0.41300,6.47,5.600e-01,-4.700e-01,0.6428,,,88.94,,,401.0,,,47.500000,21.800000,-21.800000,5597.00,112.00,-101.00,1.6990,0.1470,-0.1230,0.9690,0.0840,-0.0630
CANDIDATE,CANDIDATE,5.833938570,2.2410000e-05,-2.2410000e-05,0,,,4.58130,0.08450,-0.08450,1.98,1.800e-01,-1.400e-01,0.0628,,,87.48,,,1285.0,,,9.060000,3.600000,-3.600000,5597.00,112.00,-101.00,1.6990,0.1470,-0.1230,0.9690,0.0840,-0.0630
FALSE POSITIVE,FALSE POSITIVE,24.328225100,1.7720000e-04,-1.7720000e-04,0,,,6.15800,0.24200,-0.24200,294.02,4.599e+01,-2.488e+01,0.1566,,,72.91,,,520.0,,,15.060000,7.000000,-7.000000,5286.00,159.00,-159.00,0.7800,0.1220,-0.0660,0.8720,0.0610,-0.1040
CONFIRMED,CANDIDATE,10.415726660,1.3620000e-05,-1.3620000e-05,0,,,2.77190,0.04140,-0.04140,3.01,3.900e-01,-2.600e-01,0.0917,,,88.23,,,797.0,,,22.100000,8.600000,-8.600000,5511.00,110.00,,0.9870,0.1280,-0.0850,0.9470,0.0590,-0.0530
CONFIRMED,CANDIDATE,14.970316640,8.2690000e-05,-8.2690000e-05,0,,,5.88400,0.12400,-0.12400,2.53,3.900e-01,-5.400e-01,0.1215,,,88.91,,,883.0,,,18.530000,4.900000,-4.900000,5726.00,114.00,-103.00,1.4830,0.2300,-0.3160,1.0660,0.1150,-0.0860
CONFIRMED,CANDIDATE,32.275385300,5.4100000e-04,-5.4100000e-04,0,,,8.62200,0.56900,-0.56900,2.31,3.500e-01,-5.000e-01,0.2027,,,88.50,,,683.0,,,23.220000,9.000000,-9.000000,5726.00,114.00,-103.00,1.4830,0.2300,-0.3160,1.0660,0.1150,-0.0860
CANDIDATE,CANDIDATE,6.330274760,7.1680000e-05,-7.1680000e-05,0,,,3.67000,0.27700,-0.27700,1.02,3.800e-01,-1.500e-01,0.0662,,,88.24,,,1046.0,,,12.580000,4.600000,-4.600000,5900.00,173.00,-188.00,1.0700,0.4000,-0.1530,0.9640,0.1500,-0.1020
CONFIRMED,CANDIDATE,38.326223700,2.7300000e-04,-2.7300000e-04,0,,,3.07300,0.12300,-0.12300,2.43,1.500e-01,-2.400e-01,0.2084,,,88.34,,,480.0,,,33.300000,16.700000,-16.700000,5229.00,78.00,-78.00,0.9030,0.0560,-0.0880,0.8210,0.0590,-0.0320
CONFIRMED,CANDIDATE,4.043552450,1.2550000e-05,-1.2550000e-05,0,,,1.96500,0.16000,-0.16000,1.75,1.400e-01,-9.000e-02,0.0413,,,78.42,,,613.0,,,4.900000,2.400000,-2.400000,3871.00,77.00,-84.00,0.5320,0.0420,-0.0270,0.5730,0.0310,-0.0380
CANDIDATE,CANDIDATE,5.597282490,1.4120000e-05,-1.4120000e-05,0,,,1.79500,0.06210,-0.06210,3.28,6.900e-01,-3.000e-01,0.0608,,,88.76,,,930.0,,,21.940000,6.500000,-6.500000,5610.00,177.00,-197.00,0.8580,0.1810,-0.0780,0.9530,0.0830,-0.1150
CONFIRMED,CANDIDATE,5.524186250,2.3650000e-05,-2.3650000e-05,0,,,2.82600,0.11100,-0.11100,2.25,2.700e-01,-2.900e-01,0.0583,,,87.89,,,976.0,,,13.370000,3.800000,-3.800000,5334.00,79.00,-79.00,1.0040,0.1180,-0.1310,0.8650,0.0640,-0.0320
CONFIRMED,CANDIDATE,8.775147820,6.1310000e-05,-6.1310000e-05,0,,,3.17600,0.18800,-0.18800,1.91,2.300e-01,-2.500e-01,0.0794,,,88.45,,,837.0,,,18.680000,6.900000,-6.900000,5334.00,79.00,-79.00,1.0040,0.1180,-0.1310,0.8650,0.0640,-0.0320
FALSE POSITIVE,FALSE POSITIVE,10.127422740,2.8550000e-05,-2.8550000e-05,0,,,1.27620,0.08080,-0.08080,3.80,1.130e+00,-4.800e-01,0.0983,,,89.13,,,969.0,,,46.100000,22.000000,-22.000000,6392.00,157.00,-246.00,1.1620,0.3450,-0.1480,1.2320,0.1520,-0.2020
FALSE POSITIVE,FALSE POSITIVE,0.870693883,8.3100000e-07,-8.3100000e-07,0,,,1.21370,0.02730,-0.02730,2.09,6.200e-01,-2.100e-01,0.0175,,,75.72,,,1876.0,,,3.370000,1.700000,-1.700000,5985.00,160.00,-195.00,0.8830,0.2620,-0.0870,0.9400,0.1090,-0.1090
CONFIRMED,CANDIDATE,27.507111400,1.7240000e-04,-1.7240000e-04,0,,,5.90700,0.15700,-0.15700,2.58,8.100e-01,-2.600e-01,0.1771,,,86.79,,,569.0,,,16.410000,8.000000,-8.000000,5783.00,157.00,-175.00,0.8800,0.2780,-0.0870,0.9770,0.1160,-0.1160
CONFIRMED,CANDIDATE,5.144364500,2.2370000e-05,-2.2370000e-05,0,,,2.70300,0.10700,-0.10700,1.55,1.100e-01,-1.500e-01,0.0549,,,89.88,,,923.0,,,14.770000,2.400000,-2.400000,5157.00,77.00,-84.00,0.9040,0.0640,-0.0880,0.8300,0.0540,-0.0290
CONFIRMED,CANDIDATE,18.458483880,4.8820000e-05,-4.8820000e-05,0,,,3.37030,0.06840,-0.06840,2.50,2.100e-01,-2.600e-01,0.1301,,,88.09,,,632.0,,,25.000000,12.100000,-12.100000,5311.00,85.00,-74.00,0.9480,0.0810,-0.0990,0.8590,0.0600,-0.0330
CONFIRMED,CANDIDATE,25.942158200,1.1260000e-04,-1.1260000e-04,0,,,4.04500,0.10400,-0.10400,1.95,1.600e-01,-7.000e-02,0.1650,,,89.20,,,501.0,,,41.400000,16.800000,-16.800000,5167.00,82.00,-82.00,0.7960,0.0660,-0.0280,0.8910,0.0270,-0.0640
CONFIRMED,CANDIDATE,21.060753030,5.7020000e-05,-5.7020000e-05,0,,,5.24720,0.06630,-0.06630,1.78,2.600e-01,-2.100e-01,0.1463,,,89.67,,,669.0,,,30.680000,1.800000,-1.800000,5706.00,114.00,-103.00,1.0340,0.1480,-0.1210,0.9400,0.0730,-0.0550
CONFIRMED,CANDIDATE,13.084242860,2.6090000e-05,-2.6090000e-05,0,,,3.04010,0.05490,-0.05490,2.71,3.500e-01,-2.300e-01,0.1068,,,88.37,,,739.0,,,24.600000,11.600000,-11.600000,5511.00,110.00,0.00,0.9870,0.1280,-0.0850,0.9470,0.0590,-0.0530
CONFIRMED,CANDIDATE,2.684328541,8.2000000e-08,-8.2000000e-08,0,,,2.69382,0.00073,-0.00073,12.73,1.600e+00,-1.450e+00,0.0360,,,89.49,,,1265.0,,,8.546000,0.065200,-0.065200,5561.00,74.00,-74.00,0.9560,0.1200,-0.1090,0.8590,0.0650,-0.0420
CANDIDATE,CANDIDATE,23.339795600,5.8500000e-04,-5.8500000e-04,0,,,1.92300,0.47300,-0.47300,1.23,4.700e-01,-1.800e-01,0.1590,,,89.95,,,653.0,,,82.700000,21.000000,-21.000000,5671.00,162.00,-159.00,1.0840,0.4060,-0.1570,0.9830,0.1410,-0.0880
CONFIRMED,CANDIDATE,2.806243488,7.5190000e-06,-7.5190000e-06,0,,,1.62710,0.07010,-0.07010,1.41,6.000e-02,-8.000e-02,0.0328,,,89.82,,,771.0,,,13.469000,0.562000,-0.562000,4153.00,83.00,-91.00,0.5810,0.0270,-0.0300,0.5950,0.0280,-0.0360
FALSE POSITIVE,FALSE POSITIVE,2.271907230,1.2990000e-05,-1.2990000e-05,0,,,5.38300,0.17600,-0.17600,1.12,2.900e-01,-1.300e-01,0.0321,,,72.88,,,1318.0,,,2.440000,1.100000,-1.100000,5788.00,155.00,-155.00,0.8560,0.2250,-0.0960,0.8560,0.1060,-0.0770
FALSE POSITIVE,FALSE POSITIVE,7.132351753,7.1340000e-06,-7.1340000e-06,0,,,2.96740,0.03970,-0.03970,49.34,1.360e+01,-1.112e+01,0.0855,,,75.80,,,1579.0,,,4.920000,2.400000,-2.400000,7530.00,209.00,-314.00,1.9300,0.5320,-0.4350,1.6330,0.2120,-0.2590
CONFIRMED,CANDIDATE,6.531940240,2.2830000e-05,-2.2830000e-05,0,,,3.33510,0.06180,-0.06180,3.09,3.000e-01,-4.000e-01,0.0650,,,84.79,,,907.0,,,9.140000,4.400000,-4.400000,5301.00,85.00,-74.00,0.9770,0.0960,-0.1280,0.8560,0.0660,-0.0330
CONFIRMED,CANDIDATE,51.301184400,6.0210000e-04,-6.0210000e-04,0,,,5.35900,0.25900,-0.25900,2.07,6.500e-01,-1.700e-01,0.2716,,,90.00,,,492.0,,,74.620000,4.500000,-4.500000,6032.00,162.00,-180.00,0.9290,0.2910,-0.0780,1.0140,0.1300,-0.1300
FALSE POSITIVE,FALSE POSITIVE,1.097211085,7.2700000e-07,-7.2700000e-07,0,,,1.67380,0.03160,-0.03160,16.07,1.870e+00,-2.120e+00,0.0145,,,75.45,,,740.0,,,4.560000,2.300000,-2.300000,3497.00,62.00,-55.00,0.3340,0.0390,-0.0440,0.3390,0.0510,-0.0510
CONFIRMED,CANDIDATE,0.938466959,9.3900000e-07,-9.3900000e-07,0,,,1.30150,0.02840,-0.02840,1.58,2.400e-01,-2.400e-01,0.0182,,,89.45,,,1876.0,,,5.604900,0.062500,-0.062500,5499.00,82.00,-74.00,1.0870,0.1650,-0.1650,0.9060,0.0660,-0.0380
CANDIDATE,CANDIDATE,51.390145200,6.2190000e-04,-6.2190000e-04,0,,,5.99500,0.21300,-0.21300,3.62,6.300e-01,-4.500e-01,0.2853,,,87.91,,,570.0,,,26.000000,12.900000,-12.900000,6074.00,81.00,-90.00,1.2920,0.2240,-0.1630,1.1730,0.0730,-0.0970
CONFIRMED,CANDIDATE,3.217518511,1.7500000e-07,-1.7500000e-07,0,,,2.11481,0.00700,-0.00700,11.38,1.510e+00,-9.300e-01,0.0410,,,86.57,,,1185.0,,,10.662000,0.335000,-0.335000,5720.00,77.00,-77.00,0.9030,0.1200,-0.0740,0.8820,0.0600,-0.0490
CONFIRMED,CANDIDATE,4.662719020,1.4860000e-05,-1.4860000e-05,0,,,2.75700,0.09170,-0.09170,3.86,6.400e-01,-1.600e-01,0.0556,,,87.66,,,1039.0,,,11.870000,3.400000,-3.400000,5729.00,103.00,-126.00,0.9390,0.1560,-0.0390,1.0510,0.0510,-0.0760
CONFIRMED,CANDIDATE,11.815017400,1.0740000e-04,-1.0740000e-04,0,,,2.83400,0.22700,-0.22700,3.48,5.800e-01,-1.400e-01,0.1033,,,87.15,,,762.0,,,17.580000,8.700000,-8.700000,5729.00,103.00,-126.00,0.9390,0.1560,-0.0390,1.0510,0.0510,-0.0760
CONFIRMED,CANDIDATE,7.834433676,2.9590000e-06,-2.9590000e-06,0,,,2.89000,0.03630,-0.03630,3.47,2.900e-01,-1.000e-01,0.0714,,,87.41,,,689.0,,,15.790000,7.000000,-7.000000,4920.00,98.00,-98.00,0.7200,0.0590,-0.0220,0.8220,0.0300,-0.0590
CONFIRMED,CANDIDATE,3.005156911,1.9220000e-06,-1.9220000e-06,0,,,2.07470,0.02670,-0.02670,2.20,1.800e-01,-7.000e-02,0.0377,,,82.59,,,949.0,,,6.550000,2.900000,-2.900000,4920.00,98.00,-98.00,0.7200,0.0590,-0.0220,0.8220,0.0300,-0.0590
CONFIRMED,CANDIDATE,33.385617600,1.4090000e-04,-1.4090000e-04,0,,,5.03610,0.09340,-0.09340,2.48,7.000e-01,-3.700e-01,0.2012,,,89.26,,,580.0,,,43.300000,17.200000,-17.200000,5833.00,157.00,-175.00,1.0220,0.2880,-0.1550,0.9740,0.1270,-0.1040
FALSE POSITIVE,FALSE POSITIVE,8.480397890,5.7550000e-05,-5.7550000e-05,0,,,6.24900,0.20400,-0.20400,1.71,4.800e-01,-3.000e-01,0.0795,,,86.99,,,866.0,,,9.260000,2.900000,-2.900000,5401.00,164.00,-164.00,1.0500,0.2970,-0.1830,0.9300,0.0820,-0.0740
FALSE POSITIVE,FALSE POSITIVE,1.333395306,7.4090000e-06,-7.4090000e-06,0,,,1.18800,0.16800,-0.16800,0.86,1.000e-01,-9.000e-02,0.0221,,,88.99,,,1390.0,,,8.581000,0.288000,-0.288000,5199.00,171.00,-155.00,0.8110,0.1000,-0.0820,0.8070,0.0920,-0.0690
CONFIRMED,CANDIDATE,7.714676860,2.9070000e-05,-2.9070000e-05,0,,,4.58710,0.07260,-0.07260,4.65,9.300e-01,-1.520e+00,0.0915,,,81.59,,,1622.0,,,6.150000,2.900000,-2.900000,6900.00,184.00,-204.00,2.5990,0.5230,-0.8500,1.7140,0.1700,-0.3160
CONFIRMED,CANDIDATE,4.444482600,2.4270000e-05,-2.4270000e-05,0,,,3.68600,0.13100,-0.13100,1.71,5.000e-01,-2.000e-01,0.0552,,,74.94,,,1217.0,,,3.620000,1.800000,-1.800000,6240.00,174.00,-217.00,1.0790,0.3180,-0.1270,1.1350,0.1450,-0.1590
FALSE POSITIVE,FALSE POSITIVE,21.378114600,2.6670000e-04,-2.6670000e-04,0,,,19.35900,0.68200,-0.68200,3.18,9.400e-01,-3.400e-01,0.1611,,,77.42,,,727.0,,,4.160000,2.000000,-2.000000,6218.00,174.00,-261.00,1.1310,0.3340,-0.1190,1.2190,0.1430,-0.1720
CONFIRMED,CANDIDATE,29.542256600,2.9580000e-04,-2.9580000e-04,0,,,13.90200,0.52200,-0.52200,3.15,7.300e-01,-2.500e-01,0.1792,,,81.44,,,515.0,,,6.444000,0.800000,-0.800000,5510.00,166.00,-149.00,0.8030,0.1880,-0.0630,0.8770,0.0830,-0.0920
CONFIRMED,CANDIDATE,144.551628000,2.4960000e-03,-2.4960000e-03,0,,,16.59900,0.38900,-0.38900,3.06,7.100e-01,-2.400e-01,0.5164,,,88.57,,,303.0,,,35.500000,17.200000,-17.200000,5510.00,166.00,-149.00,0.8030,0.1880,-0.0630,0.8770,0.0830,-0.0920
CANDIDATE,CANDIDATE,186.436181100,4.8900000e-04,-4.8900000e-04,0,,,5.77400,0.15700,-0.15700,11.32,1.800e+00,-3.350e+00,0.6233,,,89.62,,,353.0,,,137.190000,7.800000,-7.800000,5393.00,80.00,-64.00,1.3700,0.2180,-0.4050,0.9260,0.0530,-0.0480
CONFIRMED,CANDIDATE,8.047277210,2.8900000e-05,-2.8900000e-05,0,,,5.15900,0.21600,-0.21600,2.33,6.500e-01,-2.200e-01,0.0770,,,79.30,,,855.0,,,5.050000,2.500000,-2.500000,5840.00,145.00,-174.00,0.8490,0.2380,-0.0790,0.9420,0.1100,-0.1100
CONFIRMED,CANDIDATE,5.870634160,2.1090000e-05,-2.1090000e-05,0,,,2.57360,0.09130,-0.09130,1.44,6.000e-02,-7.000e-02,0.0545,,,87.35,,,616.0,,,13.880000,5.100000,-5.100000,4166.00,83.00,-83.00,0.6120,0.0270,-0.0300,0.6240,0.0290,-0.0330
CONFIRMED,CANDIDATE,15.358767771,2.1290000e-06,-2.1290000e-06,0,,,4.12230,0.01570,-0.01570,10.89,1.110e+00,-8.200e-01,0.1157,,,89.02,,,662.0,,,28.470000,1.500000,-1.500000,5422.00,108.00,-108.00,0.8870,0.0900,-0.0670,0.8740,0.0550,-0.0460
CONFIRMED,CANDIDATE,29.539089700,1.9800000e-04,-1.9800000e-04,0,,,4.13900,0.15100,-0.15100,2.51,7.900e-01,-2.800e-01,0.2040,,,89.78,,,714.0,,,54.300000,6.200000,-6.200000,6572.00,160.00,-251.00,1.2380,0.3900,-0.1390,1.2980,0.1630,-0.2000
CANDIDATE,CANDIDATE,35.636402200,3.7150000e-04,-3.7150000e-04,0,,,4.88800,0.30100,-0.30100,1.99,4.800e-01,-1.700e-01,0.2104,,,89.14,,,537.0,,,43.600000,18.400000,-18.400000,5926.00,160.00,-178.00,0.8870,0.2160,-0.0770,0.9780,0.1090,-0.1200
FALSE POSITIVE,FALSE POSITIVE,0.947732530,5.3900000e-07,-5.3900000e-07,0,,,1.76450,0.02560,-0.02560,45.58,1.138e+01,-1.264e+01,0.0182,,,64.51,,,2321.0,,,2.760000,1.400000,-1.400000,6302.00,170.00,-170.00,1.2690,0.3170,-0.3520,0.8950,0.1130,-0.0760
FALSE POSITIVE,FALSE POSITIVE,0.784031658,1.0000000e-06,-1.0000000e-06,0,,,0.77730,0.05150,-0.05150,1.55,3.200e-01,-1.100e-01,0.0163,,,89.25,,,1705.0,,,7.820000,1.400000,-1.400000,5435.00,179.00,-163.00,0.8240,0.1740,-0.0580,0.9370,0.0740,-0.1010
CANDIDATE,CANDIDATE,8.981284720,2.0680000e-05,-2.0680000e-05,0,,,5.03970,0.07360,-0.07360,7.19,1.950e+00,-7.800e-01,0.0882,,,88.79,,,898.0,,,13.940000,2.100000,-2.100000,5977.00,187.00,-229.00,1.0220,0.2780,-0.1110,1.1330,0.1180,-0.1450
CONFIRMED,CANDIDATE,13.071418890,4.0480000e-05,-4.0480000e-05,0,,,3.09460,0.07250,-0.07250,2.47,4.500e-01,-4.400e-01,0.1130,,,88.05,,,964.0,,,22.100000,11.000000,-11.000000,6122.00,136.00,-124.00,1.4390,0.2570,-0.2570,1.1230,0.1160,-0.0850
FALSE POSITIVE,FALSE POSITIVE,0.692015479,1.7200000e-07,-1.7200000e-07,0,,,1.13150,0.01340,-0.01340,19.31,1.200e+00,-2.020e+00,0.0122,,,60.86,,,1057.0,,,2.600000,1.300000,-1.300000,3752.00,74.00,-82.00,0.4970,0.0310,-0.0520,0.5030,0.0370,-0.0450
FALSE POSITIVE,FALSE POSITIVE,17.042134600,3.2060000e-05,-3.2060000e-05,0,,,7.50700,0.11400,-0.11400,5.14,9.500e-01,-4.400e-01,0.1227,,,86.38,,,594.0,,,12.420000,2.600000,-2.600000,5367.00,185.00,-185.00,0.7730,0.1430,-0.0660,0.8540,0.0860,-0.0960
FALSE POSITIVE,FALSE POSITIVE,7.946710440,4.1710000e-06,-4.1710000e-06,0,,,2.84190,0.02380,-0.02380,27.43,3.130e+00,-1.910e+00,0.0712,,,83.53,,,673.0,,,11.130000,5.600000,-5.600000,4859.00,146.00,-131.00,0.7020,0.0800,-0.0490,0.7890,0.0480,-0.0840
FALSE POSITIVE,FALSE POSITIVE,3.747812420,1.4560000e-05,-1.4560000e-05,0,,,5.24100,0.13200,-0.13200,38.04,0.000e+00,0.000e+00,0.0473,,,64.75,,,1172.0,,,2.950000,1.500000,-1.500000,5780.00,,,1.0000,,,1.0000,,
CANDIDATE,CANDIDATE,192.667139000,1.0170000e-03,-1.0170000e-03,0,,,5.44300,0.16800,-0.16800,3.64,3.700e-01,-2.700e-01,0.6219,,,89.61,,,283.0,,,134.300000,66.300000,-66.300000,5401.00,107.00,-107.00,0.8780,0.0880,-0.0660,0.8630,0.0580,-0.0450
CONFIRMED,CANDIDATE,3.989544192,9.7640000e-06,-9.7640000e-06,0,,,1.59100,0.06800,-0.06800,0.93,1.400e-01,-6.000e-02,0.0449,,,89.75,,,903.0,,,19.330000,1.800000,-1.800000,5229.00,140.00,-155.00,0.6880,0.0990,-0.0460,0.7650,0.0720,-0.0790
CONFIRMED,CANDIDATE,17.977603700,1.6800000e-04,-1.6800000e-04,0,,,4.60500,0.32700,-0.32700,1.58,4.900e-01,-1.700e-01,0.1372,,,88.06,,,752.0,,,21.310000,9.300000,-9.300000,6296.00,169.00,-207.00,1.0060,0.3120,-0.1110,1.0660,0.1430,-0.1430
CONFIRMED,CANDIDATE,11.869314400,1.7490000e-04,-1.7490000e-04,0,,,4.65300,0.29800,-0.29800,1.09,3.400e-01,-1.200e-01,0.1040,,,86.93,,,864.0,,,13.630000,5.900000,-5.900000,6296.00,169.00,-207.00,1.0060,0.3120,-0.1110,1.0660,0.1430,-0.1430
CONFIRMED,CANDIDATE,12.984946030,3.2490000e-05,-3.2490000e-05,0,,,3.44970,0.06490,-0.06490,1.64,2.400e-01,-1.900e-01,0.1055,,,89.91,,,818.0,,,29.150000,1.600000,-1.600000,5948.00,107.00,-119.00,1.0250,0.1490,-0.1220,0.9300,0.0590,-0.0650
FALSE POSITIVE,FALSE POSITIVE,7.300735516,7.1600000e-07,-7.1600000e-07,0,,,5.78725,0.00813,-0.00813,13.32,4.550e+00,-1.520e+00,0.0777,,,87.39,,,1086.0,,,9.795000,0.180000,-0.180000,6434.00,153.00,-230.00,1.1380,0.3890,-0.1300,1.1690,0.1690,-0.1690
CONFIRMED,CANDIDATE,19.178939760,8.0640000e-05,-8.0640000e-05,0,,,5.14400,0.10500,-0.10500,2.40,7.100e-01,-2.200e-01,0.1392,,,89.99,,,640.0,,,29.200000,1.200000,-1.200000,5767.00,173.00,-173.00,0.8810,0.2600,-0.0810,0.9790,0.1020,-0.1250
CONFIRMED,CANDIDATE,6.991304520,1.4490000e-05,-1.4490000e-05,0,,,2.15680,0.05700,-0.05700,1.95,1.500e-01,-1.100e-01,0.0679,,,87.58,,,716.0,,,17.540000,8.100000,-8.100000,4847.00,144.00,-129.00,0.7610,0.0590,-0.0430,0.8600,0.0300,-0.0840
CANDIDATE,CANDIDATE,52.971584000,1.0580000e-04,-1.0580000e-04,0,,,3.46320,0.08150,-0.08150,29.02,3.780e+00,-2.760e+00,0.2570,,,88.63,,,402.0,,,52.500000,26.000000,-26.000000,5204.00,174.00,-158.00,0.7890,0.1030,-0.0750,0.8080,0.0850,-0.0700
